Keyword,Score
논란,0.6
칼국수,0.6
커버,0.6
한국어,0.6
방법,0.6
애가,0.6
진돗개,0.6
반응,0.6
수인,0.6
대한,0.6
슬픔,0.6
감사,0.6
기안,0.6
치킨,0.6
스님,0.6
대서,0.6
잠옷,0.6
오빠,0.6
행복,0.6
케미,0.6
인증,0.6
쿠팡,0.6
최화정,0.6
대세,0.6
업로드,0.6
사용,0.6
담배,0.6
더더,0.6
오슈,0.6
할인,0.6
열정,0.6
얘기,0.6
연애,0.6
들기름,0.6
바람,0.6
박훈,0.6
연인,0.6
하이라이트,0.6
만남,0.6
노가리,0.6
직장인,0.6
릴파님,0.6
아기,0.6
심진화,0.6
임신,0.6
누구,0.6
눈치,0.6
군악대,0.6
안유진,0.6
게임,0.6
양지,0.6
한잔,0.6
반했어,0.6
대성,0.6
내기,0.6
브랜드,0.6
주사파 대해,0.42863711017379635
부정선거 주사파,0.42863711017379635
추위,0.3
부리면,0.3
더욱,0.3
가스,0.3
여름,0.3
기운,0.3
박스,0.3
유튭,0.3
수도,0.3
저기,0.3
프로포즈,0.3
아시,0.3
마치,0.3
알바생,0.3
발매,0.3
인스턴트,0.3
먹기,0.3
주로,0.3
선택,0.3
마을,0.3
근육,0.3
한산,0.3
실물,0.3
또한,0.3
슈뢰딩거,0.3
찜질방,0.3
신혼,0.3
싸움,0.3
매너,0.3
몸조리,0.3
석쇠,0.3
악플,0.3
기차,0.3
환자,0.3
새벽,0.3
엔터,0.3
관광,0.3
능력,0.3
고급,0.3
소망,0.3
양반,0.3
인상,0.3
해장국,0.3
꽃길,0.3
옥수수,0.3
라디오,0.3
서면,0.3
어보,0.3
종류,0.3
나중,0.3
린지,0.3
아주머니,0.3
코너킥,0.3
그동안,0.3
일시,0.3
마디,0.3
주랑,0.3
쇠고기,0.3
넘흐,0.3
표정,0.3
보이,0.3
가죽,0.3
히어로,0.3
편도,0.3
감칠맛,0.3
대체,0.3
주기,0.3
알콜,0.3
다시다,0.3
장갑,0.3
관련,0.3
대신,0.3
사드,0.3
재봉,0.3
어쩐지,0.3
트집,0.3
처리,0.3
안전띠,0.3
명복,0.3
달라,0.3
킬러,0.3
듣기,0.3
각자,0.3
마싰습,0.3
셔누,0.3
리뷰,0.3
이마,0.3
만이,0.3
김광규,0.3
쩐다,0.3
발견,0.3
도파민,0.3
방출,0.3
비제,0.3
설날,0.3
장벽,0.3
재중이,0.3
북중,0.3
땡큐,0.3
만들기,0.3
나야,0.3
이귀,0.3
모든,0.3
산길,0.3
올리브유,0.3
모델,0.3
코끝,0.3
꽈뚜룹,0.3
절로,0.3
년전,0.3
킴민교,0.3
재결합,0.3
먹음,0.3
자녀,0.3
타팬,0.3
집안,0.3
요새,0.3
통합,0.3
오그,0.3
생맥,0.3
맛남,0.3
케잌,0.3
만해,0.3
득점,0.3
장거리,0.3
승윤,0.3
청춘,0.3
회사,0.3
너무웃곀,0.3
다사,0.3
코인,0.3
보통,0.3
전복,0.3
경국,0.3
일단,0.3
호시,0.3
짜르,0.3
급상승,0.3
간판,0.3
안나,0.3
가게,0.3
매우,0.3
수가,0.3
양심,0.3
불판,0.3
할머니,0.3
해결,0.3
일생,0.3
극혐,0.3
임지연,0.3
좋압,0.3
공통,0.3
바리스타,0.3
구미,0.3
네이버,0.3
강아지,0.3
눈매,0.3
시엘,0.3
웰던,0.3
서나,0.3
추첨,0.3
냄새,0.3
안이,0.3
앵콜,0.3
망원,0.3
멀리,0.3
재봉틀,0.3
독일,0.3
초등학생,0.3
이상형,0.3
수록,0.3
의존,0.3
콤프,0.3
보르,0.3
가나,0.3
락스,0.3
탄생,0.3
김포,0.3
지지,0.3
손색,0.3
향수,0.3
효과,0.3
저가,0.3
유쥬,0.3
메이저,0.3
대학생,0.3
호리,0.3
종료,0.3
야끼소바,0.3
거짓말,0.3
등등,0.3
피로,0.3
릴파,0.3
간지,0.3
한판,0.3
태그,0.3
뱅도,0.3
고이,0.3
유투브,0.3
하나님,0.3
패널,0.3
도전,0.3
어떡행,0.3
브금,0.3
드라마,0.3
우유,0.3
양자역학,0.3
호강,0.3
미궁,0.3
감성,0.3
태연,0.3
처남,0.3
저런,0.3
난관,0.3
고물,0.3
주방,0.3
헨리,0.3
뭐임,0.3
뚤기들,0.3
패션,0.3
떡집,0.3
경험,0.3
추억,0.3
온몸,0.3
요청,0.3
지름,0.3
달달,0.3
말투,0.3
왓다,0.3
받침,0.3
정작,0.3
생필품,0.3
피케,0.3
가화만사성,0.3
역술가님,0.3
신지,0.3
의전,0.3
반딧불,0.3
풍선,0.3
입력,0.3
쌍둥이,0.3
나날이,0.3
런가,0.3
목숨,0.3
다난,0.3
자칭,0.3
안내,0.3
사과,0.3
직캠,0.3
그녀,0.3
관심,0.3
남매,0.3
대북,0.3
차기,0.3
백자도,0.3
추가,0.3
애도,0.3
울림,0.3
버렷네,0.3
어케,0.3
소보,0.3
쟁탈전,0.3
화면,0.3
바로가기,0.3
위주,0.3
이시언,0.3
얼른,0.3
부심,0.3
귀순,0.3
상하이,0.3
슬림해,0.3
한국인,0.3
부석,0.3
거나,0.3
뮤비,0.3
된거,0.3
개꿀,0.3
주섬주섬,0.3
츄카츄카,0.3
어른,0.3
고인,0.3
땡스투놀뭐,0.3
본인,0.3
희생,0.3
티잉,0.3
절대로,0.3
개그,0.3
최신,0.3
반등,0.3
어좁,0.3
봉지,0.3
유남병운,0.3
시루,0.3
고심,0.3
된장찌개,0.3
프러포즈,0.3
사골,0.3
윤씨,0.3
썸네일,0.3
지성,0.3
그대로,0.3
케리,0.3
도쿄,0.3
올리브오일,0.3
씨엘,0.3
흥민,0.3
공민지,0.3
자체,0.3
치매,0.3
물구나무,0.3
된장,0.3
몆년전,0.3
더락,0.3
드뎌,0.3
만가,0.3
여친,0.3
자식,0.3
아이넴,0.3
된찌라뇨,0.3
상이,0.3
알구,0.3
진맛,0.3
스타일,0.3
연습,0.3
기점,0.3
손재주,0.3
래서,0.3
단것,0.3
콘테스트,0.3
월세,0.3
독감,0.3
아티스트,0.3
커플,0.3
디테,0.3
고수일,0.3
심금,0.3
마크,0.3
얼마나,0.3
넥기놈,0.3
가지,0.3
사면,0.3
축북,0.3
샐러드,0.3
호골,0.3
후배,0.3
최근,0.3
남편,0.3
저리,0.3
합리,0.3
전방,0.3
스톨,0.3
네일아트,0.3
첫날,0.3
저쪽,0.3
게스트,0.3
침략,0.3
상품,0.3
울버햄튼,0.3
밴드,0.3
너머,0.3
패널티킥,0.3
조금,0.3
여성,0.3
번창,0.3
고스,0.3
평판,0.3
아래,0.3
게장,0.3
할배,0.3
만원,0.3
개구리,0.3
앰생,0.3
아메리카노,0.3
몇번,0.3
전혀,0.3
자취,0.3
흔적,0.3
곰탕,0.3
약간,0.3
서방,0.3
마인크래프트,0.3
인제,0.3
깊이,0.3
무엇,0.3
잔치,0.3
투표,0.3
편지,0.3
다운,0.3
오늘아침,0.3
정반대,0.3
은행동,0.3
재현,0.3
이아,0.3
콤비,0.3
소믈리에,0.3
삼촌,0.3
유라,0.3
한미,0.3
들깻잎,0.3
그게,0.3
컨텐츠,0.3
육수,0.3
고양이,0.3
격변,0.3
존중,0.3
각기,0.3
실험,0.3
진도,0.3
산다라박,0.3
세트,0.3
기사,0.3
수신,0.3
이입,0.3
차마,0.3
놀람,0.3
군인,0.3
게뭐,0.3
먹잇감,0.3
이제야,0.3
공식,0.3
송년회,0.3
안보,0.3
고치,0.3
호주,0.3
일도,0.3
따라서,0.3
미챠,0.3
파네토네,0.3
인터넷,0.3
옥씨,0.3
중재,0.3
장지수,0.3
유추,0.3
마무리,0.3
꿀잼,0.3
똥손,0.3
면서,0.3
책임감,0.3
자연,0.3
심지어,0.3
사회,0.3
사람과,0.3
페널티킥,0.3
박자,0.3
주장,0.3
표현,0.3
질겨,0.3
고고,0.3
보류,0.3
장군,0.3
독거,0.3
인지,0.3
축구,0.3
닭다리,0.3
근후,0.3
일일,0.3
산후,0.3
늑힘,0.3
로맨스,0.3
더체,0.3
이유,0.3
박정민,0.3
계정,0.3
양구,0.3
토도,0.3
영상통화,0.3
건가,0.3
내사,0.3
김동우,0.3
심플,0.3
태국,0.3
조사해,0.3
개재,0.3
작년,0.3
유도,0.3
줄줄,0.3
이보,0.3
아침마당,0.3
부위,0.3
취소,0.3
쁘고해,0.3
버젼,0.3
품절,0.3
